Row 1 ('device_id,lat,lon,timestamp'): Non-numeric latitude or longitude (lat='lat', lon='lon').
Row 1 ('device_id,lat,lon,timestamp'): Invalid ISO 8601 timestamp format 'timestamp'.
Row 2 ('van007,14.670985,120.748402,2025-05-13 5:15:30'): Invalid ISO 8601 timestamp format '2025-05-13 5:15:30'.
Row 4 ('van007,14.781635,120.441766,2025-05-13 8:57:30'): Invalid ISO 8601 timestamp format '2025-05-13 8:57:30'.
Row 5 ('van007,14.616657,120.898917,2025-05-13 3:26:30'): Invalid ISO 8601 timestamp format '2025-05-13 3:26:30'.
Row 8 ('van007,14.732485,120.577876,2025-05-13 7:19:00'): Invalid ISO 8601 timestamp format '2025-05-13 7:19:00'.
Row 12 ('van007,14.649315,120.961667,2025-05-12 9:16:30'): Invalid ISO 8601 timestamp format '2025-05-12 9:16:30'.
Row 17 ('van007,13.894789,121.044341,2025-05-13 0:42:30'): Invalid ISO 8601 timestamp format '2025-05-13 0:42:30'.
Row 21 ('van007,14.732814,120.944252,2025-05-12 9:39:30'): Invalid ISO 8601 timestamp format '2025-05-12 9:39:30'.
Row 22 ('van007,13.771379,121.056737,2025-05-13 1:56:30'): Invalid ISO 8601 timestamp format '2025-05-13 1:56:30'.
Row 23 ('van007,14.656458,120.788503,2025-05-13 4:46:30'): Invalid ISO 8601 timestamp format '2025-05-13 4:46:30'.
Row 26 ('van007,14.59745,120.95209,2025-05-13 2:48:00'): Invalid ISO 8601 timestamp format '2025-05-13 2:48:00'.
Row 29 ('van007,14.767268,120.937107,2025-05-12 9:49:00'): Invalid ISO 8601 timestamp format '2025-05-12 9:49:00'.
Row 31 ('van007,14.651163,120.961301,2025-05-12 9:17:00'): Invalid ISO 8601 timestamp format '2025-05-12 9:17:00'.
Row 32 ('van007,13.959749,121.037751,2025-05-13 0:03:30'): Invalid ISO 8601 timestamp format '2025-05-13 0:03:30'.
Row 34 ('van007,14.615636,120.901711,2025-05-13 3:24:30'): Invalid ISO 8601 timestamp format '2025-05-13 3:24:30'.
Row 38 ('van007,14.706031,120.651057,2025-05-13 6:26:00'): Invalid ISO 8601 timestamp format '2025-05-13 6:26:00'.
Row 40 ('van007,14.627323,120.869183,2025-05-13 3:48:00'): Invalid ISO 8601 timestamp format '2025-05-13 3:48:00'.
Row 42 ('van007,14.682743,120.71595,not-a-timestamp'): Invalid ISO 8601 timestamp format 'not-a-timestamp'.
Row 46 ('van007,14.809443,120.364555,2025-05-13 9:53:30'): Invalid ISO 8601 timestamp format '2025-05-13 9:53:30'.
Row 47 ('van007,14.784377,120.434208,2025-05-13 9:03:00'): Invalid ISO 8601 timestamp format '2025-05-13 9:03:00'.
Row 51 ('van007,14.60574,120.929374,2025-05-13 3:04:30'): Invalid ISO 8601 timestamp format '2025-05-13 3:04:30'.
Row 56 ('van007,14.72103,120.609679,2025-05-13 6:56:00'): Invalid ISO 8601 timestamp format '2025-05-13 6:56:00'.
Row 57 ('van007,14.742427,120.550164,2025-05-13 7:39:00'): Invalid ISO 8601 timestamp format '2025-05-13 7:39:00'.
Row 58 ('van007,14.694943,120.682195,2025-05-13 6:03:30'): Invalid ISO 8601 timestamp format '2025-05-13 6:03:30'.
Row 61 ('van007,999,999,2025-05-12 15:32:59'): Invalid coordinates lat=999, lon=999. Out of range.
Row 63 ('van007,13.916445,121.042134,2025-05-13 0:29:30'): Invalid ISO 8601 timestamp format '2025-05-13 0:29:30'.
Row 64 ('van007,14.768409,120.478495,2025-05-13 8:31:00'): Invalid ISO 8601 timestamp format '2025-05-13 8:31:00'.
Row 66 ('van007,14.714343,120.628267,2025-05-13 6:42:30'): Invalid ISO 8601 timestamp format '2025-05-13 6:42:30'.
Row 68 ('van007,14.746986,120.537817,2025-05-13 7:48:00'): Invalid ISO 8601 timestamp format '2025-05-13 7:48:00'.
Row 71 ('van007,14.663718,120.768507,2025-05-13 5:01:00'): Invalid ISO 8601 timestamp format '2025-05-13 5:01:00'.
Row 73 ('van007,14.719597,120.613739,2025-05-13 6:53:00'): Invalid ISO 8601 timestamp format '2025-05-13 6:53:00'.
Row 74 ('van007,999,999,2025-05-12 15:32:59'): Invalid coordinates lat=999, lon=999. Out of range.
Row 77 ('van007,13.903965,121.043361,2025-05-13 0:37:00'): Invalid ISO 8601 timestamp format '2025-05-13 0:37:00'.
Row 79 ('van007,13.898139,121.04403,2025-05-13 0:40:30'): Invalid ISO 8601 timestamp format '2025-05-13 0:40:30'.
Row 80 ('van007,14.74766,120.535789,2025-05-13 7:49:30'): Invalid ISO 8601 timestamp format '2025-05-13 7:49:30'.
Row 82 ('van007,15.723629,120.737589,not-a-timestamp'): Invalid ISO 8601 timestamp format 'not-a-timestamp'.
Row 83 ('van007,14.644369,120.822247,2025-05-13 4:22:00'): Invalid ISO 8601 timestamp format '2025-05-13 4:22:00'.
Row 84 ('van007,16.068442,120.66563,not-a-timestamp'): Invalid ISO 8601 timestamp format 'not-a-timestamp'.
Row 86 ('van007,14.704388,120.655836,2025-05-13 6:22:30'): Invalid ISO 8601 timestamp format '2025-05-13 6:22:30'.
Row 88 ('van007,13.885599,121.045269,2025-05-13 0:48:00'): Invalid ISO 8601 timestamp format '2025-05-13 0:48:00'.
Row 89 ('van007,14.663956,120.767714,2025-05-13 5:01:30'): Invalid ISO 8601 timestamp format '2025-05-13 5:01:30'.
Row 90 ('van007,14.724536,120.599883,2025-05-13 7:03:00'): Invalid ISO 8601 timestamp format '2025-05-13 7:03:00'.
Row 92 ('van007,14.6035,120.9355,2025-05-13 3:00:00'): Invalid ISO 8601 timestamp format '2025-05-13 3:00:00'.
Row 96 ('van007,14.647071,120.814771,2025-05-13 4:27:30'): Invalid ISO 8601 timestamp format '2025-05-13 4:27:30'.
Row 99 ('van007,14.643818,120.823738,2025-05-13 4:21:00'): Invalid ISO 8601 timestamp format '2025-05-13 4:21:00'.
Row 101 ('van007,14.675655,120.735282,2025-05-13 5:25:00'): Invalid ISO 8601 timestamp format '2025-05-13 5:25:00'.
Row 107 ('van007,999,999,2025-05-12 15:32:59'): Invalid coordinates lat=999, lon=999. Out of range.
Row 111 ('van007,14.777923,120.452194,2025-05-13 8:50:00'): Invalid ISO 8601 timestamp format '2025-05-13 8:50:00'.
Row 114 ('van007,14.619679,120.890653,2025-05-13 3:32:30'): Invalid ISO 8601 timestamp format '2025-05-13 3:32:30'.
Row 115 ('van007,14.648504,120.810545,2025-05-13 4:30:30'): Invalid ISO 8601 timestamp format '2025-05-13 4:30:30'.
Row 117 ('van007,999,999,2025-05-12 15:32:59'): Invalid coordinates lat=999, lon=999. Out of range.
Row 121 ('van007,14.731291,120.581307,2025-05-13 7:16:30'): Invalid ISO 8601 timestamp format '2025-05-13 7:16:30'.
Row 122 ('van007,14.657739,120.784942,2025-05-13 4:49:00'): Invalid ISO 8601 timestamp format '2025-05-13 4:49:00'.
Row 124 ('van007,14.735281,120.570247,2025-05-13 7:24:30'): Invalid ISO 8601 timestamp format '2025-05-13 7:24:30'.
Row 125 ('van007,14.804798,120.377544,2025-05-13 9:44:00'): Invalid ISO 8601 timestamp format '2025-05-13 9:44:00'.
Row 126 ('van007,14.61396,120.906466,2025-05-13 3:21:00'): Invalid ISO 8601 timestamp format '2025-05-13 3:21:00'.
Row 127 ('van007,13.946489,121.039109,2025-05-13 0:11:30'): Invalid ISO 8601 timestamp format '2025-05-13 0:11:30'.
Row 132 ('van007,13.874791,121.046338,2025-05-13 0:54:30'): Invalid ISO 8601 timestamp format '2025-05-13 0:54:30'.
Row 133 ('van007,14.611486,120.913378,2025-05-13 3:16:00'): Invalid ISO 8601 timestamp format '2025-05-13 3:16:00'.
Row 134 ('van007,13.939849,121.039767,2025-05-13 0:15:30'): Invalid ISO 8601 timestamp format '2025-05-13 0:15:30'.
Row 137 ('van007,14.910641,120.907262,not-a-timestamp'): Invalid ISO 8601 timestamp format 'not-a-timestamp'.
Row 140 ('van007,999,999,2025-05-12 15:32:59'): Invalid coordinates lat=999, lon=999. Out of range.
Row 150 ('van007,14.644521,120.821656,not-a-timestamp'): Invalid ISO 8601 timestamp format 'not-a-timestamp'.
Row 151 ('van007,14.707795,120.64615,2025-05-13 6:29:30'): Invalid ISO 8601 timestamp format '2025-05-13 6:29:30'.
Row 153 ('van007,999,999,2025-05-12 15:32:59'): Invalid coordinates lat=999, lon=999. Out of range.
Row 154 ('van007,14.760487,120.500523,2025-05-13 8:15:00'): Invalid ISO 8601 timestamp format '2025-05-13 8:15:00'.
Row 156 ('van007,14.643291,120.825026,2025-05-13 4:20:00'): Invalid ISO 8601 timestamp format '2025-05-13 4:20:00'.
Row 157 ('van007,14.729969,120.584736,2025-05-13 7:14:00'): Invalid ISO 8601 timestamp format '2025-05-13 7:14:00'.
Row 159 ('van007,14.15002,121.018518,not-a-timestamp'): Invalid ISO 8601 timestamp format 'not-a-timestamp'.
Row 165 ('van007,14.656022,120.789796,2025-05-13 4:45:30'): Invalid ISO 8601 timestamp format '2025-05-13 4:45:30'.
Row 167 ('van007,14.7101,120.639996,2025-05-13 6:34:00'): Invalid ISO 8601 timestamp format '2025-05-13 6:34:00'.
Row 170 ('van007,14.637603,120.840956,2025-05-13 4:08:30'): Invalid ISO 8601 timestamp format '2025-05-13 4:08:30'.
Row 171 ('van007,13.962268,121.037492,2025-05-13 0:02:00'): Invalid ISO 8601 timestamp format '2025-05-13 0:02:00'.
Row 173 ('van007,14.708778,120.643518,2025-05-13 6:31:30'): Invalid ISO 8601 timestamp format '2025-05-13 6:31:30'.
Row 175 ('van007,14.697179,120.675901,2025-05-13 6:08:00'): Invalid ISO 8601 timestamp format '2025-05-13 6:08:00'.
Row 176 ('van007,14.774177,120.462538,2025-05-13 8:42:30'): Invalid ISO 8601 timestamp format '2025-05-13 8:42:30'.
Row 178 ('van007,14.769194,120.47638,2025-05-13 8:32:30'): Invalid ISO 8601 timestamp format '2025-05-13 8:32:30'.
Row 182 ('van007,14.727532,120.591601,2025-05-13 7:09:00'): Invalid ISO 8601 timestamp format '2025-05-13 7:09:00'.
Row 188 ('van007,14.774896,120.46044,2025-05-13 8:44:00'): Invalid ISO 8601 timestamp format '2025-05-13 8:44:00'.
Row 189 ('van007,14.779331,120.448066,2025-05-13 8:53:00'): Invalid ISO 8601 timestamp format '2025-05-13 8:53:00'.
Row 191 ('van007,14.80426,120.379045,2025-05-13 9:43:00'): Invalid ISO 8601 timestamp format '2025-05-13 9:43:00'.
Row 194 ('van007,14.602988,120.936916,2025-05-13 2:59:00'): Invalid ISO 8601 timestamp format '2025-05-13 2:59:00'.
Row 196 ('van007,14.772391,120.467444,not-a-timestamp'): Invalid ISO 8601 timestamp format 'not-a-timestamp'.
Row 197 ('van007,14.656626,120.960216,2025-05-12 9:18:30'): Invalid ISO 8601 timestamp format '2025-05-12 9:18:30'.
Row 199 ('van007,14.677906,120.729005,2025-05-13 5:29:30'): Invalid ISO 8601 timestamp format '2025-05-13 5:29:30'.
Row 202 ('van007,14.803204,120.381831,2025-05-13 9:41:00'): Invalid ISO 8601 timestamp format '2025-05-13 9:41:00'.
